Model,Setup,Lead,MaxLoad,A,B,C
GTH3,0,2,13,300,10,11
GTH3,0,8,10,80,10,10
GTH3,0,12,3,180,37,37
GTH3,1,2,13,11,10,300
GTH3,1,8,10,10,10,80
GTH3,1,12,3,37,37,180
GTH3,2,2,5,33,0,33
GTH3,2,8,2,60,0,60
GTH3,2,12,0.8,140,0,140
GTH4,0,2,,500,23,32
GTH4,0,6,,250,22,31
GTH4,0,12,,195,37,47
GTH4,1,2,,32,23,500
GTH4,1,6,,31,22,250
GTH4,1,12,,47,37,190
GTH4,2,2,,100,0,100
GTH4,2,6,,75,0,75
GTH4,2,12,,150,0,150
GTH5,0,2,,550,25,35
GTH5,0,5,,270,19,25
GTH5,0,10,,250,42,52
GTH5,0,20,,175,55,60
GTH5,1,2,,37,27,550
GTH5,1,5,,25,19,260
GTH5,1,10,,52,42,250
GTH5,1,20,,60,55,170
GTH5,2,2,,110,0,110
GTH5,2,5,,90,0,90
GTH5,2,10,,155,0,155
GTH5,2,20,,250,0,250
GTH8,0,5,,550,53,82
GTH8,0,10,,541,86,124
GTH8,0,20,,592,194,238
GTH8,1,5,,74,53,506
GTH8,1,10,,112,86,495
GTH8,1,20,,214,194,544
GTH8,2,5,,220,0,220
GTH8,2,10,,368,0,368
GTH8,2,20,,935,0,935
GTH12,0,5,,1500,120,170
GTH12,0,10,,950,140,190
GTH12,0,20,,900,290,330
GTH12,0,32,,520,270,260
GTH12,1,5,,130,125,1550
GTH12,1,10,,150,150,950
GTH12,1,20,,260,300,900
GTH12,1,32,,210,270,520
GTH12,2,5,,550,0,550
GTH12,2,10,,730,0,730
GTH12,2,20,,1250,0,1250
GTH12,2,32,,1000,0,1000
GTH5S,0,2,,550,25,35
GTH5S,1,2,,37,27,550
GTH5S,2,2,,110,0,110
GTH8S,0,5,,550,53,82
GTH8S,1,5,,74,53,506
GTH8S,2,5,,220,0,220
GTY4,0,2,,500,23,32
GTY4,0,6,,250,22,31
GTY4,0,12,,195,37,47
GTY4,1,2,,32,23,500
GTY4,1,6,,31,22,250
GTY4,1,12,,47,37,190
GTY4,2,2,,100,0,100
GTY4,2,6,,75,0,75
GTY4,2,12,,150,0,150
GTY5,0,2,,550,25,35
GTY5,0,5,,270,19,25
GTY5,0,10,,250,42,52
GTY5,0,20,,175,55,60
GTY5,1,2,,37,27,550
GTY5,1,5,,25,19,260
GTY5,1,10,,52,42,250
GTY5,1,20,,60,55,170
GTY5,2,2,,110,0,110
GTY5,2,5,,90,0,90
GTY5,2,10,,155,0,155
GTY5,2,20,,250,0,250
GTY8,0,5,,550,53,82
GTY8,0,10,,541,86,124
GTY8,0,20,,592,194,238
GTY8,1,5,,74,53,506
GTY8,1,10,,112,86,495
GTY8,1,20,,214,194,544
GTY8,2,5,,220,0,220
GTY8,2,10,,368,0,368
GTY8,2,20,,935,0,935
GTY12,0,5,,1500,120,170
GTY12,0,10,,950,140,190
GTY12,0,20,,900,290,330
GTY12,0,32,,520,270,260
GTY12,1,5,,130,125,1550
GTY12,1,10,,150,150,950
GTY12,1,20,,260,300,900
GTY12,1,32,,210,270,520
GTY12,2,5,,550,0,550
GTY12,2,10,,730,0,730
GTY12,2,20,,1250,0,1250
GTY12,2,32,,1000,0,1000
ETH13,0,5,,422,32,115
ETH13,0,10,,295,46,135
ETH13,0,20,,252,81,166
ETH13,0,32,,204,106,156
ETH13,1,5,,115,32,422
ETH13,1,10,,135,46,294
ETH13,1,20,,166,81,253
ETH13,1,32,,155,106,204
ETH13,2,5,,170,0,170
ETH13,2,10,,215,0,215
ETH13,2,20,,335,0,335
ETH14,0,5,,1284,114,108
ETH14,0,10,,854,134,122
ETH14,0,20,,860,277,233
ETH14,0,32,,495,251,188
ETH14,1,5,,108,114,1284
ETH14,1,10,,123,123,854
ETH14,1,20,,233,277,860
ETH14,1,32,,188,251,495
ETH14,2,5,,513,0,513
ETH14,2,10,,682,0,682
ETH14,2,20,,1188,0,1188
ETH14,2,32,,944,0,944
ETH17,0,5,,1861,187,218
ETH17,0,10,,1000,164,182
ETH17,0,20,,654,206,204
ETH17,0,40,,366,231,183
ETH17,1,5,,218,187,1850
ETH17,1,10,,182,164,1002
ETH17,1,20,,204,206,656
ETH17,1,40,,183,231,366
ETH17,2,5,,546,0,546
ETH17,2,10,,607,0,607
ETH17,2,20,,769,0,769
ETH17,2,40,,790,0,790
ETH22,0,5,,3357,396,347
ETH22,0,10,,2113,349,295
ETH22,0,25,,893,350,262
ETH22,0,40,,978,630,412
ETH22,1,5,,347,396,3357
ETH22,1,10,,295,349,2113
ETH22,1,25,,262,350,893
ETH22,1,40,,412,630,978
ETH22,2,5,,1288,0,1288
ETH22,2,10,,1396,0,1396
ETH22,2,25,,2033,0,2033
ETH22,2,40,,2055,0,2055
ETH17M,0,5,168,1080,78,100
ETH17M,0,10,123,637,94,114
ETH17M,0,20,65,550,172,182
ETH17M,0,32,44,339,169,156
ETH17M,1,5,168,100,78,1080
ETH17M,1,10,123,114,94,637
ETH17M,1,20,65,182,172,550
ETH17M,1,32,44,156,169,339
ETH17M,2,5,,350,0,350
ETH17M,2,10,,499,0,499
ETH17M,2,20,,660,0,660
ETH17M,2,32,,525,0,525
ETH22M,0,5,209,2113,228,221
ETH22M,0,10,73,1311,198,184
ETH22M,0,20,119,886,272,231
ETH22M,0,40,57,510,318,224
ETH22M,1,5,209,221,228,2113
ETH22M,1,10,73,14,198,1328
ETH22M,1,20,119,231,272,886
ETH22M,1,40,57,224,318,510
ETH22M,2,5,,781,0,781
ETH22M,2,10,,867,0,867
ETH22M,2,20,,1101,0,1101
ETH22M,2,40,,1133,0,1133
ETB5,0,32,10,92,10,20
ETB5,0,40,3,47,39,72
ETB5,1,32,,18,10,92
ETB5,1,40,,67,36,47
ETB6,0,40,3,126,16,42
ETB6,1,40,,38,15,180
ETB10,0,32,10,236,71,60
ETB10,1,32,,60,71,236
ETB14M,0,40,19,670,251,197
ETB14M,1,40,,197,251,670
ETB17M,0,40,45,588,219,201
ETB17M,1,40,,201,219,588
ETB22M,0,40,85,768,281,206
ETB22M,1,40,,206,281,768
MH65,0,78,,240,42,12
MH65,1,78,,12,42,240
MH80,0,102,,240,43,12
MH80,1,102,,12,43,240
MK65,0,36.67,30,250,55,10
MK65,0,22,45,450,55,10
MK65,0,15.71,55,550,50,10
MK65,0,11,60,800,50,10
MK65,1,36.67,,10,60,260
MK65,1,22,,10,60,450
MK65,1,15.71,,10,60,550
MK65,1,11,,10,60,800
MK65,2,36.67,9,300,0,300
MK65,2,22,15,300,0,300
MK65,2,15.71,16,300,0,300
MK65,2,11,17,330,0,330
MK85,0,40,40,400,110,15
MK85,0,28.57,60,420,85,12
MK85,0,20,100,550,75,10
MK85,1,40,,15,110,400
MK85,1,28.57,,12,80,450
MK85,1,20,,10,75,600
MK85,2,40,14,450,450,450
MK85,2,28.57,21,400,400,400
MK85,2,20,24,350,350,350
MK110,0,25,100,550,85,11
MK110,0,16.67,150,650,63,8
MK110,0,12.5,200,550,35,5
MK110,1,25,,11,85,550
MK110,1,16.67,,8,63,650
MK110,1,12.5,,5,35,550
MK110,2,25,23,680,0,680
MK110,2,16.67,36,575,0,575
MK110,2,12.5,50,450,0,450
GCH4,0,2,,500,23,32
GCH4,0,6,,250,22,31
GCH4,0,12,,195,37,47
GCH4,1,2,,32,23,500
GCH4,1,6,,31,22,250
GCH4,1,12,,47,37,190
GCH4,2,2,,100,0,100
GCH4,2,6,,75,0,75
GCH4,2,12,,150,0,150
GCH5,0,2,,550,25,35
GCH5,0,5,,270,19,25
GCH5,0,10,,250,42,52
GCH5,0,20,,175,55,60
GCH5,1,2,,37,27,550
GCH5,1,5,,25,19,260
GCH5,1,10,,52,42,250
GCH5,1,20,,60,55,170
GCH5,2,2,,110,0,110
GCH5,2,5,,90,0,90
GCH5,2,10,,155,0,155
GCH5,2,20,,250,0,250
GCH8,0,5,,550,53,82
GCH8,0,10,,541,86,124
GCH8,0,20,,592,194,238
GCH8,1,5,,74,53,506
GCH8,1,10,,112,86,495
GCH8,1,20,,214,194,544
GCH8,2,5,,220,0,220
GCH8,2,10,,368,0,368
GCH8,2,20,,935,0,935
GCH12,0,5,,1500,120,170
GCH12,0,10,,950,140,190
GCH12,0,20,,900,290,330
GCH12,0,32,,520,270,260
GCH12,1,5,,130,125,1550
GCH12,1,10,,150,150,950
GCH12,1,20,,260,300,900
GCH12,1,32,,210,270,520
GCH12,2,5,,550,0,550
GCH12,2,10,,730,0,730
GCH12,2,20,,1250,0,1250
GCH12,2,32,,1000,0,1000
GCH5S,0,2,,550,25,35
GCH5S,1,2,,37,27,550
GCH5S,2,2,,110,0,110
GCH8S,0,5,,550,53,82
GCH8S,1,5,,74,53,506
GCH8S,2,5,,220,0,220
ECH14,0,5,,1284,114,108
ECH14,0,10,,854,134,122
ECH14,0,20,,860,277,233
ECH14,0,32,,495,251,188
ECH14,1,5,,108,114,1284
ECH14,1,10,,123,123,854
ECH14,1,20,,233,277,860
ECH14,1,32,,188,251,495
ECH14,2,5,,513,0,513
ECH14,2,10,,682,0,682
ECH14,2,20,,1188,0,1188
ECH14,2,32,,944,0,944
ECH17,0,5,,1861,187,218
ECH17,0,10,,1000,164,182
ECH17,0,20,,654,206,204
ECH17,0,40,,366,231,183
ECH17,1,5,,218,187,1850
ECH17,1,10,,182,164,1002
ECH17,1,20,,204,206,656
ECH17,1,40,,183,231,366
ECH17,2,5,,546,0,546
ECH17,2,10,,607,0,607
ECH17,2,20,,769,0,769
ECH17,2,40,,790,0,790
ECH22,0,5,,3357,396,347
ECH22,0,10,,2113,349,295
ECH22,0,25,,893,350,262
ECH22,0,40,,978,630,412
ECH22,1,5,,347,396,3357
ECH22,1,10,,295,349,2113
ECH22,1,25,,262,350,893
ECH22,1,40,,412,630,978
ECH22,2,5,,1288,0,1288
ECH22,2,10,,1396,0,1396
ECH22,2,25,,2033,0,2033
ECH22,2,40,,2055,0,2055
ECB5,0,32,10,92,10,20
ECB5,0,40,3,47,39,72
ECB5,1,32,,18,10,92
ECB5,1,40,,67,36,47
ECB6,0,40,3,126,16,42
ECB6,1,40,,38,15,180
ECB10,0,32,10,236,71,60
ECB10,1,32,,60,71,236
ECB14,0,40,19,670,251,197
ECB14,1,40,,197,251,670
ECB17,0,40,38,588,219,201
ECB17,1,40,,201,219,588
ECB22,0,40,80,768,281,206
ECB22,1,40,,206,281,768
Y50,0,5,30,0,0,0
Y50,0,10,15,0,0,0
Y50,1,5,30,0,0,0
Y50,1,10,15,0,0,0
Y50,2,5,12,0,0,0
Y50,2,10,5,0,0,0
Y50D,0,5,30,0,0,0
Y50D,0,10,15,0,0,0
Y50D,1,5,30,0,0,0
Y50D,1,10,15,0,0,0
Y50D,2,5,12,0,0,0
Y50D,2,10,5,0,0,0
Y50L,0,5,30,0,0,0
Y50L,0,10,15,0,0,0
Y50L,1,5,30,0,0,0
Y50L,1,10,15,0,0,0
Y50L,2,5,12,0,0,0
Y50L,2,10,5,0,0,0
Y65,0,5,110,0,0,0
Y65,0,10,88,0,0,0
Y65,0,16,48,0,0,0
Y65,0,20,40,0,0,0
Y65,1,5,110,0,0,0
Y65,1,10,88,0,0,0
Y65,1,16,48,0,0,0
Y65,1,20,40,0,0,0
Y65,2,5,33,0,0,0
Y65,2,10,22,0,0,0
Y65,2,16,10,0,0,0
Y65,2,20,8,0,0,0
Y65D,0,5,110,0,0,0
Y65D,0,10,88,0,0,0
Y65D,0,16,48,0,0,0
Y65D,0,20,40,0,0,0
Y65D,1,5,110,0,0,0
Y65D,1,10,88,0,0,0
Y65D,1,16,48,0,0,0
Y65D,1,20,40,0,0,0
Y65D,2,5,33,0,0,0
Y65D,2,10,22,0,0,0
Y65D,2,16,10,0,0,0
Y65D,2,20,8,0,0,0
Y65L,0,5,110,0,0,0
Y65L,0,10,88,0,0,0
Y65L,0,16,48,0,0,0
Y65L,0,20,40,0,0,0
Y65L,1,5,110,0,0,0
Y65L,1,10,88,0,0,0
Y65L,1,16,48,0,0,0
Y65L,1,20,40,0,0,0
Y65L,2,5,33,0,0,0
Y65L,2,10,22,0,0,0
Y65L,2,16,10,0,0,0
Y65L,2,20,8,0,0,0
MG65,0,45,24,640,327,246
MG65,0,30,47,339,85,77
MG65,1,45,24,246,327,640
MG65,1,30,47,89,97,409
MG65,2,45,10,423,0,423
MG65,2,30,15,50,0,50
